1, 1, 0, 0.6096, 1,  1
1, 1, 0, 0.6096, 2,  0.99103
1, 1, 0, 0.6096, 3,  0.99103
1, 1, 0, 0.6096, 4,  0.96197
1, 1, 0, 0.6096, 5,  0.97521
1, 1, 0, 0.6096, 6,  0.97521
1, 1, 0, 0.6096, 7,  0.96197
1, 1, 0, 0.6096, 8,  0.97227
1, 1, 0, 0.6096, 9,  0.97227
1, 1, 0, 0.6096, 10, 0.97227
1, 1, 0, 0.6096, 11, 0.99103
1, 1, 0, 0.6096, 12, 0.96197
1, 1, 0, 0.6096, 13, 0.97521
1, 1, 0, 0.6096, 14, 0.96714
1, 1, 0, 0.6096, 15, 0.96714
1, 1, 0, 0.6096, 16, 0.96714
1, 1, 0, 0.6096, 17, 0.97521
1, 1, 0, 0.6096, 18, 0.96197
1, 1, 0, 0.6096, 19, 0.99103
